m,trajs
1,"[(5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 46), (46, 1, 45), (45, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87), (87, 0, 97), (97, 2, 87), (87, 0, 88), (88, 3, 87)]"
2,"[(1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 4), (4, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 85), (85, 4, 86), (86, 4, 87), (87, 0, 87)]"
3,"[(1, 4, 0), (0, 4, 10), (10, 2, 10), (10, 2, 0), (0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86)]"
4,"[(0, 4, 0), (0, 4, 0), (0, 4, 1), (1, 4, 2), (2, 4, 1), (1, 4, 2), (2, 4, 1), (1, 4, 11), (11, 4, 12), (12, 4, 22), (22, 4, 23), (23, 4, 24), (24, 1, 14), (14, 1, 14), (14, 1, 13), (13, 4, 13), (13, 4, 12), (12, 4, 13), (13, 4, 14), (14, 1, 4)]"
5,"[(2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 45), (45, 1, 55), (55, 1, 54), (54, 1, 55), (55, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74)]"
6,"[(0, 4, 0), (0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 97), (97, 2, 96)]"
7,"[(0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 4), (4, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 24), (24, 1, 14), (14, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 26), (26, 3, 25), (25, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 24)]"
8,"[(5, 1, 15), (15, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 64), (64, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 88), (88, 3, 98)]"
9,"[(7, 3, 6), (6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 5), (5, 1, 5), (5, 1, 4), (4, 1, 14), (14, 1, 14), (14, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74)]"
10,"[(1, 4, 11), (11, 4, 12), (12, 4, 12), (12, 4, 12), (12, 4, 12), (12, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86)]"
