m,trajs
1,"[(5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 46), (46, 1, 45), (45, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 4, 77), (77, 1, 78), (78, 1, 88), (88, 0, 88), (88, 0, 98), (98, 2, 88), (88, 0, 89), (89, 3, 88)]"
2,"[(1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 4), (4, 4, 4), (4, 4, 14), (14, 4, 15), (15, 1, 25), (25, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 85), (85, 4, 86), (86, 4, 87), (87, 4, 88)]"
3,"[(1, 4, 0), (0, 4, 10), (10, 1, 20), (20, 1, 20), (20, 1, 21), (21, 4, 22), (22, 4, 23), (23, 4, 23), (23, 4, 13), (13, 4, 14), (14, 4, 24), (24, 4, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 4, 77), (77, 1, 87)]"
4,"[(0, 4, 0), (0, 4, 0), (0, 4, 1), (1, 4, 2), (2, 4, 1), (1, 4, 2), (2, 4, 1), (1, 4, 11), (11, 4, 12), (12, 4, 22), (22, 4, 23), (23, 4, 24), (24, 4, 14), (14, 4, 14), (14, 4, 13), (13, 4, 13), (13, 4, 12), (12, 4, 13), (13, 4, 14), (14, 4, 4)]"
5,"[(2, 4, 3), (3, 4, 4), (4, 4, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 44), (44, 1, 45), (45, 1, 44), (44, 1, 54), (54, 1, 64), (64, 4, 64)]"
6,"[(0, 4, 0), (0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 13), (13, 4, 14), (14, 4, 15), (15, 1, 25), (25, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 4, 77), (77, 1, 87), (87, 4, 88)]"
7,"[(0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 4, 4), (4, 4, 5), (5, 1, 15), (15, 1, 25), (25, 1, 24), (24, 4, 14), (14, 4, 15), (15, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 26), (26, 3, 25), (25, 1, 24), (24, 4, 14), (14, 4, 24), (24, 4, 24)]"
8,"[(5, 1, 15), (15, 1, 14), (14, 4, 24), (24, 4, 25), (25, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 64), (64, 4, 65), (65, 1, 75), (75, 4, 76), (76, 4, 66), (66, 1, 76), (76, 4, 77), (77, 1, 87), (87, 4, 88), (88, 0, 98)]"
9,"[(7, 3, 6), (6, 1, 16), (16, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 14), (14, 4, 4), (4, 4, 5), (5, 1, 5), (5, 1, 6), (6, 1, 16), (16, 1, 26), (26, 3, 16), (16, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65)]"
10,"[(1, 4, 11), (11, 4, 12), (12, 4, 12), (12, 4, 12), (12, 4, 12), (12, 4, 13), (13, 4, 14), (14, 4, 24), (24, 4, 25), (25, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 4, 77)]"
