m,trajs
1,"[(0, 0, 1), (1, 3, 0), (0, 0, 10), (10, 2, 11), (11, 3, 10), (10, 2, 10), (10, 2, 11), (11, 3, 10), (10, 2, 10), (10, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 10), (10, 2, 10), (10, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]"
2,"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (1, 3, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]"
3,"[(5, 1, 15), (15, 1, 25), (25, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 96), (96, 2, 96), (96, 2, 95)]"
4,"[(0, 0, 10), (10, 2, 10), (10, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (1, 3, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (1, 3, 0)]"
5,"[(2, 4, 3), (3, 4, 4), (4, 4, 5), (5, 1, 6), (6, 4, 7), (7, 4, 7), (7, 4, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 8), (8, 4, 9), (9, 0, 9), (9, 0, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 19), (19, 2, 9)]"
6,"[(3, 4, 4), (4, 4, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 45), (45, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 55), (55, 1, 65), (65, 1, 64), (64, 1, 64), (64, 1, 65), (65, 1, 75), (75, 4, 76)]"
7,"[(5, 1, 4), (4, 4, 4), (4, 4, 5), (5, 1, 15), (15, 1, 16), (16, 1, 17), (17, 4, 18), (18, 4, 18), (18, 4, 17), (17, 4, 16), (16, 1, 26), (26, 3, 25), (25, 1, 25), (25, 1, 35), (35, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75)]"
8,"[(6, 4, 6), (6, 4, 7), (7, 4, 8), (8, 4, 7), (7, 4, 8), (8, 4, 8), (8, 4, 9), (9, 0, 19), (19, 2, 19), (19, 2, 18), (18, 4, 19), (19, 2, 9), (9, 0, 19), (19, 2, 19), (19, 2, 9), (9, 0, 8), (8, 4, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9)]"
9,"[(5, 1, 15), (15, 1, 25), (25, 1, 25), (25, 1, 35), (35, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 65), (65, 1, 75), (75, 4, 85), (85, 4, 86), (86, 4, 96), (96, 2, 86), (86, 4, 76), (76, 1, 86), (86, 4, 85), (85, 4, 86)]"
10,"[(6, 4, 7), (7, 4, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 8), (8, 4, 8), (8, 4, 9), (9, 0, 9), (9, 0, 19), (19, 2, 9)]"
11,"[(5, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 16), (16, 1, 26), (26, 3, 25), (25, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87)]"
12,"[(3, 4, 4), (4, 4, 5), (5, 1, 5), (5, 1, 6), (6, 4, 6), (6, 4, 7), (7, 4, 6), (6, 4, 7), (7, 4, 7), (7, 4, 8), (8, 4, 9), (9, 0, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 8)]"
13,"[(6, 4, 7), (7, 4, 6), (6, 4, 7), (7, 4, 6), (6, 4, 6), (6, 4, 7), (7, 4, 8), (8, 4, 9), (9, 0, 9), (9, 0, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9)]"
14,"[(6, 4, 7), (7, 4, 8), (8, 4, 9), (9, 0, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 9), (9, 0, 8), (8, 4, 8), (8, 4, 9), (9, 0, 9), (9, 0, 9), (9, 0, 19), (19, 2, 9), (9, 0, 19)]"
