m,trajs
1,"[(8, np.int64(3), 8), (8, np.int64(3), 7), (7, np.int64(3), 6), (6, np.int64(3), 5), (5, np.int64(1), 6), (6, np.int64(3), 5), (5, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 35), (35, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 55), (55, np.int64(1), 65), (65, np.int64(1), 75), (75, np.int64(4), 76), (76, np.int64(1), 66), (66, np.int64(1), 76), (76, np.int64(1), 77)]"
2,"[(7, np.int64(3), 7), (7, np.int64(3), 7), (7, np.int64(3), 6), (6, np.int64(3), 6), (6, np.int64(3), 7), (7, np.int64(3), 17), (17, np.int64(3), 17), (17, np.int64(3), 17), (17, np.int64(3), 18), (18, np.int64(3), 17), (17, np.int64(3), 18), (18, np.int64(3), 18), (18, np.int64(3), 17), (17, np.int64(3), 27), (27, np.int64(3), 17), (17, np.int64(3), 16), (16, np.int64(3), 15), (15, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 25)]"
3,"[(7, np.int64(3), 7), (7, np.int64(3), 7), (7, np.int64(3), 6), (6, np.int64(3), 5), (5, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 35), (35, np.int64(1), 25), (25, np.int64(1), 25), (25, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 45), (45, np.int64(1), 35), (35, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 46), (46, np.int64(1), 46), (46, np.int64(1), 45), (45, np.int64(1), 35), (35, np.int64(1), 45)]"
4,"[(3, np.int64(4), 4), (4, np.int64(1), 14), (14, np.int64(1), 24), (24, np.int64(1), 34), (34, np.int64(1), 24), (24, np.int64(1), 14), (14, np.int64(1), 24), (24, np.int64(1), 34), (34, np.int64(1), 34), (34, np.int64(1), 44), (44, np.int64(1), 45), (45, np.int64(1), 45), (45, np.int64(1), 44), (44, np.int64(1), 45), (45, np.int64(1), 55), (55, np.int64(1), 65), (65, np.int64(1), 75), (75, np.int64(4), 76), (76, np.int64(1), 75), (75, np.int64(4), 74)]"
5,"[(5, np.int64(1), 5), (5, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 25), (25, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 44), (44, np.int64(1), 54), (54, np.int64(1), 64), (64, np.int64(1), 65), (65, np.int64(1), 55), (55, np.int64(1), 56), (56, np.int64(1), 66), (66, np.int64(1), 76), (76, np.int64(1), 86), (86, np.int64(4), 87), (87, np.int64(0), 97), (97, np.int64(2), 87), (87, np.int64(0), 87), (87, np.int64(0), 87)]"
6,"[(6, np.int64(3), 5), (5, np.int64(1), 6), (6, np.int64(3), 5), (5, np.int64(1), 5), (5, np.int64(1), 15), (15, np.int64(1), 14), (14, np.int64(1), 13), (13, np.int64(4), 14), (14, np.int64(1), 13), (13, np.int64(4), 14), (14, np.int64(1), 24), (24, np.int64(1), 34), (34, np.int64(1), 24), (24, np.int64(1), 23), (23, np.int64(4), 23), (23, np.int64(4), 24), (24, np.int64(1), 14), (14, np.int64(1), 24), (24, np.int64(1), 34), (34, np.int64(1), 34)]"
7,"[(2, np.int64(4), 12), (12, np.int64(4), 12), (12, np.int64(4), 13), (13, np.int64(4), 14), (14, np.int64(1), 24), (24, np.int64(1), 34), (34, np.int64(1), 34), (34, np.int64(1), 44), (44, np.int64(1), 54), (54, np.int64(1), 44), (44, np.int64(1), 54), (54, np.int64(1), 64), (64, np.int64(1), 74), (74, np.int64(4), 75), (75, np.int64(4), 76), (76, np.int64(1), 86), (86, np.int64(4), 87), (87, np.int64(0), 87), (87, np.int64(0), 87), (87, np.int64(0), 87)]"
8,"[(1, np.int64(4), 11), (11, np.int64(4), 11), (11, np.int64(4), 12), (12, np.int64(4), 13), (13, np.int64(4), 14), (14, np.int64(1), 24), (24, np.int64(1), 23), (23, np.int64(4), 24), (24, np.int64(1), 34), (34, np.int64(1), 34), (34, np.int64(1), 24), (24, np.int64(1), 14), (14, np.int64(1), 24), (24, np.int64(1), 14), (14, np.int64(1), 24), (24, np.int64(1), 34), (34, np.int64(1), 44), (44, np.int64(1), 54), (54, np.int64(1), 44), (44, np.int64(1), 54)]"
9,"[(7, np.int64(3), 6), (6, np.int64(3), 7), (7, np.int64(3), 8), (8, np.int64(3), 8), (8, np.int64(3), 7), (7, np.int64(3), 6), (6, np.int64(3), 5), (5, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 46), (46, np.int64(1), 46), (46, np.int64(1), 45), (45, np.int64(1), 55), (55, np.int64(1), 65), (65, np.int64(1), 75), (75, np.int64(4), 76), (76, np.int64(1), 76), (76, np.int64(1), 86)]"
10,"[(1, np.int64(4), 2), (2, np.int64(4), 3), (3, np.int64(4), 4), (4, np.int64(1), 14), (14, np.int64(1), 15), (15, np.int64(1), 5), (5, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 26), (26, np.int64(3), 25), (25, np.int64(1), 15), (15, np.int64(1), 25), (25, np.int64(1), 35), (35, np.int64(1), 45), (45, np.int64(1), 55), (55, np.int64(1), 65), (65, np.int64(1), 55), (55, np.int64(1), 54), (54, np.int64(1), 64), (64, np.int64(1), 65)]"
